,ID,主菜,副菜,汁物,主菜ID,採用/不採用,里芋,玉ねぎ,大根,人参,レタス,白菜,ミニトマト,ねぎ,にんにく,キャベツ,じゃがいも,グリーンピース,ほうれん草,しょうが,パセリ,しめじ,ごぼう,もやし,エノキ,春菊,コーン,水菜,柚子,きゅうり,トマト,ブロッコリー,ピーマン,ちんげん菜,ナス,菊芋,かぼちゃ,山芋,アスパラ,パプリカ,バジル,マッシュルーム,大葉,れんこん,椎茸,にら,三つ葉,さつまいも,カリフラワー,タケノコ,枝豆,アボカド,小松菜,かぶ,セロリ,高菜,エリンギ,えのき,銀杏,ひき肉,鶏,豚,ローストビーフ,手羽,牛,ハム,ベーコン,ウインナー,ささみ,もつ,スパム,ぶり,牡蠣,ツナ,鱈,エビ,サーモン,鮭,数の子,まぐろ,鯛,いくら,いわし,サバ,アジ,さんま,干物,白身魚,タコ,ホタテ,サザエ,じゃこ,あさり,シーフード,あんこう,カジカ,イカ,片栗粉,醤油,砂糖,みりん,酢,揚げ油,卵,塩,胡椒,パン粉,マヨネーズ,味噌,ナツメグ,コーヒーフレッシュ,酒,ごま,だし,麺つゆ,カレールー,ローリエ,オリーブ,赤ワイン,蜂蜜,コンソメ,バター,チリパウダー,カレー粉,コチュジャン,ごま油,オイスターソース,鶏がらスープ,ソース,鰹節,小麦粉,ワイン,生クリーム,粉チーズ,酒粕,かつおぶし,唐辛子,ケチャップ,豆板醤,ナンプラー,マーガリン,デミグラスソース,クミン,ターメリック,ガラムマサラ,ポン酢,蕎麦,うどん,中華麺,パスタ,ニョッキ　,そうめん,油揚げ,カニカマ,牛乳,明太子,冷凍餃子,こんにゃく,豆腐,葛きり,蒲鉾,餅,梅干し,わかめ,昆布,ヨーグルト,春雨,たらこ,チーズ,ミートソース,しらたき,納豆,キムチ,海苔,おから,パン,レモン,main_genre,sub_genre,soup_genre
0,0.0,カナダ家庭料理の定番！プルドポーク,止まらない！オータムポエムのオイル和え☆,野菜たっぷりけんちん汁,1070055351,0.0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1.0
0,1.0,まんまる豆腐ケバブ,タコの頭で！簡単！美味しいタコのから揚げ♪,とろとろ♪めかぶスープ,1620022450,1.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3.0
0,2.0,明太チーズ餅☆もんじゃ,コストコ★ロティサリーチキンで棒棒鶏,簡単にプロの味！時短具沢山クラムチャウダー！,1210006727,0.0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2.0
0,3.0,簡単☆マヨたまポケットサンド♪,【石川食材】そうめん南瓜のゆかり和え,北海道～鮭まるごと三平汁,1130009951,0.0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1.0
0,4.0,ポカポカ温まる！野菜たっぷりみぞれ鍋,居酒屋メニュー☆カマンベールチーズフライ,なし,1820015023,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0.0
0,5.0,ハムチーズトースト,じゃがいもで簡単♪チーズポテト餅,♡ 玉ねぎの味噌汁 ♡,1370007478,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,1.0
0,6.0,美味しいよ♪我が家の“ツナと塩昆布のおにぎり”,金時豆の甘煮♪美味しい煮豆☆,辛旨 本格的 スンドゥブチゲ,1140017432,1.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4.0
0,7.0,野菜たっぷり！子供が喜ぶ♪タコライス,うずら卵と野菜でプチスコッチエッグ,オーブン不用！レンジで簡単オニオングラタンスープ,1600020074,1.0,0,3,0,1,2,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,1,0,1,2,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,2.0
0,8.0,ホントに美味しい！ポークソテー・オニオンソース,簡単副菜！れんこんとブロッコリーの味噌マヨ焼き,新潟の郷土料理“のっぺ”♪♪,1150000867,1.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.0
0,9.0,牛乳で簡単！鶏むね肉のクリーム煮,黒豆煮☆炊飯器で,旨みたっぷり！あさりのお味噌汁☆,1080014879,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.0
